,n_estimators,GBoost,AdaBoost
0,50,0.5660536547474828,0.7398868862215316
1,100,0.7676002477368681,0.7398868862215316
2,200,0.8676124432527967,0.7398868862215316
3,300,0.8812027903142636,0.7398868862215316
4,400,0.8830156258681274,0.7398868862215316
